timestamp,TimeS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1774627430.74437,2678.183099,0,3,489848800,2411,18,0.6,51.4936678,-1.7484933,164.44,0.035014282912015915,91.6365737915039,-0.005000000353902578,0.0,1
1774627430.94437,2678.383099,0,3,489849000,2411,18,0.6,51.4936679,-1.7484932,164.44,0.06296825408935547,32.68054962158203,-0.0020000000949949026,0.0,1
1774627431.144264,2678.582993,0,3,489849200,2411,18,0.6,51.4936679,-1.7484931,164.44,0.04176123067736626,163.30075073242188,-0.007000000216066837,0.0,1
1774627431.344228,2678.782957,0,3,489849400,2411,18,0.6,51.4936679,-1.7484931,164.45,0.03773592785000801,212.00538635253906,-0.03700000047683716,0.0,1
1774627431.544509,2678.983238,0,3,489849600,2411,18,0.6,51.4936679,-1.7484931,164.47,0.004000000189989805,0.0,0.00800000037997961,0.0,1
1774627431.744274,2679.183003,0,3,489849800,2411,18,0.6,51.4936679,-1.7484932,164.47,0.03176476061344147,298.1785888671875,-0.009000000543892384,0.0,1
1774627431.94451,2679.383239,0,3,489850000,2411,18,0.6,51.4936679,-1.7484932,164.46,0.012649111449718475,71.56504821777344,0.04800000041723251,0.0,1
1774627432.144446,2679.583175,0,3,489850200,2411,18,0.6,51.4936679,-1.7484932,164.46,0.0255538672208786,30.5792236328125,-0.04500000178813934,0.0,1
1774627432.344436,2679.783165,0,3,489850400,2411,18,0.6,51.4936679,-1.7484931,164.47,0.03671512007713318,150.64224243164062,0.018000001087784767,0.0,1
1774627432.5443819,2679.983111,0,3,489850600,2411,18,0.6,51.4936679,-1.7484931,164.46,0.04981967806816101,10.407711029052734,0.03700000047683716,0.0,1
1774627432.7445729,2680.183302,0,3,489850800,2411,18,0.6,51.493668,-1.7484931,164.47,0.0255538672208786,210.57923889160156,0.027000000700354576,0.0,1
1774627432.9443479,2680.383077,0,3,489851000,2411,18,0.6,51.4936679,-1.7484931,164.47,0.03832753747701645,164.8759765625,-0.03200000151991844,0.0,1
1774627433.144158,2680.582887,0,3,489851200,2411,18,0.6,51.4936679,-1.7484931,164.48,0.04801041632890701,358.8065185546875,-0.052000001072883606,0.0,1
1774627433.3441849,2680.782914,0,3,489851400,2411,18,0.6,51.493668,-1.748493,164.5,0.0269258264452219,31.328689575195312,-0.014000000432133675,0.0,1
1774627433.5442839,2680.983013,0,3,489851600,2411,18,0.6,51.493668,-1.7484931,164.5,0.03492850065231323,293.62939453125,-0.04700000211596489,0.0,1
1774627433.744072,2681.182801,0,3,489851800,2411,18,0.6,51.493668,-1.7484931,164.51,0.03417601436376572,159.44393920898438,-0.007000000216066837,0.0,1
1774627433.944017,2681.382746,0,3,489852000,2411,18,0.6,51.4936679,-1.7484931,164.5,0.018973667174577713,71.56504821777344,-0.00800000037997961,0.0,1
1774627434.144033,2681.582762,0,3,489852200,2411,18,0.6,51.4936679,-1.748493,164.51,0.022360682487487793,153.43495178222656,-0.06200000271201134,0.0,1
1774627434.343837,2681.782566,0,3,489852400,2411,18,0.6,51.493668,-1.748493,164.53,0.005099019967019558,168.6900634765625,-0.0010000000474974513,0.0,1
1774627434.5437799,2681.982509,0,3,489852600,2411,18,0.6,51.493668,-1.748493,164.53,0.061465442180633545,21.974506378173828,-0.01100000087171793,0.0,1
1774627434.743739,2682.182468,0,3,489852800,2411,18,0.6,51.4936681,-1.748493,164.52,0.030016662552952766,330.01837158203125,-0.014000000432133675,0.0,1
1774627434.943754,2682.382483,0,3,489853000,2411,18,0.6,51.4936681,-1.748493,164.51,0.05124451220035553,17.020524978637695,0.020000001415610313,0.0,1
1774627435.1437669,2682.582496,0,3,489853200,2411,18,0.6,51.4936682,-1.748493,164.52,0.052611786872148514,351.25384521484375,-0.032999999821186066,0.0,1
1774627435.343701,2682.78243,0,3,489853400,2411,18,0.6,51.4936683,-1.748493,164.52,0.05536244437098503,20.07152557373047,-0.04500000178813934,0.0,1
