TimeS,MagField,Throttle
2758.495167,671.8675464702845,82.89999999999999
2758.594912,647.9444420627435,80.80000000000001
2758.69538,657.5325087020412,81.39999999999999
2758.794866,644.7216453633304,78.7
2758.895196,661.1610998841356,76.4
2758.99491,659.310245635543,71.1
2759.094889,663.4802182431666,71.3
2759.195124,662.0777899914783,71.8
2759.294907,669.4072004393141,71.6
2759.394928,671.0812171414128,72.6
2759.495112,677.7322480153944,73.8
2759.594833,676.0044378552556,74.0
2759.694903,677.2628736317974,75.7
2759.794796,675.4990747588038,75.2
2759.895108,675.1488724718423,76.2
2759.994758,666.2769694353843,75.6
2760.095036,659.7355530816874,79.2
2760.195348,637.3460598450421,79.60000000000001
2760.294759,636.0573873480286,78.9
2760.394969,636.1847216021459,80.4
2760.495223,641.723460690039,80.2
2760.594764,656.3299475111585,77.9
2760.695007,657.6731711116092,76.7
2760.794975,662.0944041449075,76.4
2760.894731,663.7431732228965,77.2
2760.994962,639.6436507931584,77.8
2761.094898,615.2731100901452,78.3
2761.194641,602.7312834091159,75.6
2761.294868,601.0432596743765,75.9
2761.39482,578.2568633401596,75.3
2761.494817,595.4292569231042,73.1
2761.594641,599.2795674808211,70.7
2761.694801,603.4575378599558,70.8
2761.794906,613.9421796879573,72.0
2761.894629,616.4219334189853,70.89999999999999
2761.995026,597.2277622482063,70.8
2762.094658,601.2902793160721,70.89999999999999
2762.194863,606.9621075487332,73.7
2762.294516,593.8846689383386,74.1
2762.394564,593.6345677266445,74.2
2762.494509,590.4117207508672,74.5
2762.594807,579.9112000987737,74.1
2762.694846,591.0211502137635,74.3
2762.794576,604.9710736886517,75.3
2762.894694,597.1473854920575,77.5
2762.994525,590.7402136303233,77.5
2763.094738,568.7503846152546,82.69999999999999
2763.194501,580.9655755722537,82.1
2763.294675,551.3283957860324,84.0
2763.394424,563.7916281748071,81.8
2763.494644,581.283063575742,82.39999999999999
2763.594702,578.3217097775251,81.3
2763.694675,571.1164504722308,82.0
2763.794709,570.5725194924831,82.0
2763.894561,583.044595206919,80.9
2763.994388,570.6671534265837,79.60000000000001
2764.094515,566.366489121664,78.5
2764.194624,560.4872879914406,78.5
2764.294583,560.1374831235631,77.3
2764.394624,554.2797127804697,77.10000000000001
2764.494523,564.3518406100932,76.5
2764.594602,558.3430844919636,76.3
2764.6946,572.1774200368274,76.5
2764.794587,563.3915157330646,76.5
2764.894271,559.1654495764201,77.8
2764.994606,553.293773686276,79.4
2765.094217,550.7640148012576,74.7
2765.194474,553.8673126300197,65.8
2765.294495,554.4628030806034,67.60000000000001
2765.394524,560.8440068325594,68.30000000000001
2765.494443,561.8131361938772,68.89999999999999
2765.594523,558.8139225180417,68.10000000000001
2765.694485,543.9880513393654,69.1
2765.794532,530.8210621292263,73.4
2765.894621,534.5072497169706,71.89999999999999
2765.994534,535.0149530620616,71.3
2766.094368,548.4715124780867,73.0
2766.194464,547.9078389656421,76.8
2766.294304,527.3006732406095,77.10000000000001
2766.394343,533.7396369017388,74.7
2766.494101,516.7920278022872,74.1
2766.594392,531.3925102972378,73.8
2766.694159,527.0379492977712,74.4
2766.794213,535.5091035640758,75.2
2766.894178,547.5299078589223,77.2
2766.994184,541.2827357305977,77.0
2767.094352,543.1684821489554,76.8
2767.194072,536.8202678737083,77.0
2767.29407,511.86423981364436,78.0
2767.394266,522.5868348896669,78.4
2767.494054,509.18464234499453,76.9
2767.594253,506.35363136843404,77.0
2767.694269,512.416822518543,76.1
2767.794267,509.68519695984895,75.2
2767.894351,497.21826193332845,74.8
2767.994242,509.7146260408857,74.6
2768.094295,500.28591825075387,75.2
2768.194272,504.9841581673627,75.9
2768.294313,532.8189185830398,77.4
2768.394228,534.5839503763651,78.3
2768.49431,529.0160678089088,78.3
2768.59421,526.5083095260701,78.0
2768.69431,528.7995839635278,75.8
2768.794312,532.2236372052636,70.0
2768.894262,531.7348963534366,71.1
2768.994269,534.2387106902681,70.39999999999999
2769.094213,545.9606212905835,71.3
2769.19397,536.111928611927,70.39999999999999
2769.294181,539.6795345387853,70.8
2769.394,530.5365208918232,70.6
2769.494204,523.1414722615672,70.19999999999999
2769.594106,520.0009615375725,70.1
2769.694251,520.9923224002442,70.1
2769.794163,497.6374182072727,70.1
2769.894113,508.33355191252133,69.69999999999999
2769.994128,501.1666389535521,71.39999999999999
2770.094123,509.0638466833016,71.8
2770.193856,538.5369068132657,71.3
2770.294083,562.8827586629386,72.8
